dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
Shew Beli Bileney,The Roha Band,spotify:track:5VtsZ6AiLHyKrZEkIhbbh7,0.625,0.623,7,"-10,101",1,"0,0413","0,112","0,00736","0,145","0,657","90,799",326707,4,"91,45907",11,0,6
Shine,Collective Soul,spotify:track:6emdJW80SbDBMuHci8PJJn,0.54,0.423,6,"-8,799",1,"0,0283","0,294","0,0884","0,152","0,353","150,135",306040,4,"39,82054",12,1,6
Sho Nuff,Tela Featuring Eightball & MJG,spotify:track:3R5G81gtoO5CcZlRCRKVLk,0.776,0.468,0,"-8,35",1,"0,144","0,00138",0,"0,162","0,233","146,149",308027,4,"27,32608",15,1,6
Shoop,Salt-N-Pepa,spotify:track:0Pu71wxadDlB8fJXfjIjeJ,0.939,0.675,0,"-7,232",1,"0,211","0,0915",0,"0,0565","0,795","96,918",248573,4,"22,80835",11,1,6
Sign of the Zodiac,Rasputina,spotify:track:418zOsoHsqwLJEJ2zBkgCG,0.335,0.294,2,"-12,386",0,"0,0359","0,805","0,118","0,113","0,0967","132,112",227000,4,"58,92358",8,0,6
Silent Angel - Guitar Version,Axel Rudi Pell,spotify:track:0Cm2s8fuG042WbsiTK2lMD,0.157,0.44,11,"-7,523",1,"0,0303","0,00203","0,114","0,109","0,178","87,912",249507,4,"20,82295",15,0,6
Silk 'n' Satin,Sonny Rollins,spotify:track:5skvhubObjGtF0dsMvJlMk,0.537,0.132,0,"-14,821",1,"0,0398","0,964","0,638","0,338","0,556","150,377",240000,3,"37,72066",9,0,6
Sin So Well,Rebekah,spotify:track:3mUmd78qWMY1qxYgXgO0gT,0.727,0.629,6,"-5,022",0,"0,0331","0,288",0,"0,107","0,518","119,663",219360,4,"23,93764",9,1,6
Sin Ti No Sé Vivir,Los Angeles Azules,spotify:track:2tkeEsJUjKLM1zKeWJ3RqU,0.654,0.331,2,"-8,954",1,"0,0395","0,309",0,"0,12","0,802","83,918",224787,4,"38,88316",8,0,6
Sixteen Tons,Tennessee Ernie Ford,spotify:track:3P6OwCX7Ofiaaqtvujb6i5,0.693,0.324,11,"-15,085",1,"0,205","0,796",0,"0,246","0,382","144,14",158307,4,"28,18392",9,0,6
Sixteen Years,Chapterhouse,spotify:track:2pBgETPQ5qblDL0YMOHw96,0.263,0.539,4,"-10,257",0,"0,0333","2,43E-06","0,81","0,276","0,684","83,527",279187,4,"81,24562",8,0,6
SK,Sugar Kane,spotify:track:3oMF96m3JwvXmTzGNIv86F,0.34,0.922,0,"-5,467",1,"0,0451","7,91E-05","0,000579","0,557","0,6","97,077",172613,4,"30,10806",8,0,6
Ska Mitzvah,King Django,spotify:track:5WD91zmsVZOlSnCHOiI0p0,0.587,0.671,4,"-7,672",0,"0,0402","0,000831","0,612","0,356","0,924","149,611",183493,4,"61,91895",6,0,6
Slam,Onyx,spotify:track:0W2mz7mvaBaEsC4rmoRNPn,0.876,0.71,11,"-12,908",1,"0,347","0,0654","0,00312","0,918","0,724","98,305",218333,4,"19,18055",10,1,6
Sleeping With You,Firehouse,spotify:track:5M3ZwYKhBoAKgTqebp4BBi,0.584,0.815,3,"-8,151",1,"0,0325","6,45E-05","0,0367","0,214","0,705","120,799",230733,4,"18,97944",13,1,6
Slime Rock,Chris Thile,spotify:track:6mMs5J2qLa7Xyw6JSdjlLz,0.581,0.467,4,"-12,303",1,"0,0316","0,696","0,742","0,227","0,802","112,477",294333,4,"26,38989",15,0,6
Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement,spotify:track:5glXpXx8GiA8e045JKS4eP,0.742,0.619,10,"-4,149",0,"0,0302","0,101",0,"0,122","0,622","119,879",303093,4,"34,26654",13,1,6
Slow Motion,Color Me Badd,spotify:track:03GzYByXsXHcoEAxjsWv9G,0.783,0.885,6,"-7,747",0,"0,0648","0,00531","0,752","0,0435","0,941","92,042",265667,4,"49,84596",12,1,6
Sluttering (May 4th),Jawbreaker,spotify:track:3nJvdMhOmRW4cRLw0NN7qC,0.433,0.983,9,"-5,415",1,"0,079","0,00338","0,000454","0,228","0,632","158,985",254107,4,"44,02017",10,0,6
Smack My Bitch Up,The Prodigy,spotify:track:3tehrxZR8eaANHov4cEctL,0.607,0.993,10,"-4,511",0,"0,148","0,00314","0,593","0,112","0,229","136,208",342733,4,"22,04457",12,1,6
Smells Like Nirvana,"""""""Weird Al"""" Yankovic""",spotify:track:5Q1qSEtljHQzUygQTt0Ykw,0.591,0.786,6,"-7,664",1,"0,0749","0,162","0,00178","0,28","0,729","120,762",224533,4,"16,54714",10,1,6
Smells Like Teen Spirit,Nirvana,spotify:track:5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,"-4,556",1,"0,0564","2,55E-05","0,000173","0,106","0,72","116,761",301920,4,"26,41615",12,1,6
Smothered In Hugs,Guided By Voices,spotify:track:0491EjDNDRRwo9mBCsLaAX,0.259,0.691,5,"-10,332",1,"0,0454","0,000817","0,452","0,634","0,396","112,232",180000,4,"35,86568",9,0,6
So Hard,Pet Shop Boys,spotify:track:14RWSCy9Ec9UvApW0JqjQ0,0.561,0.893,0,"-7,663",1,"0,038","0,00123","0,408","0,176","0,674","119,863",238387,4,"22,73805",13,1,6
Solitaire,Strung Out,spotify:track:5srklmlDangVuD4O9hMbCD,0.353,0.976,7,"-5,544",1,"0,0546","0,000332","0,00227","0,175","0,438","115,657",176587,4,"31,02441",6,0,6
Somebody's Out There Watching,The Kinleys,spotify:track:1J2q9vOL8xL1MQXFazHB8y,0.606,0.805,7,"-5,451",1,"0,0318","0,125",0,"0,351","0,44","81,488",215640,4,"47,66",10,1,6
Someday,Mariah Carey,spotify:track:6TSM5vkz0WzyZsNAKKYDcw,0.685,0.819,1,"-8,686",0,"0,0405","0,206","2,23E-06","0,0251","0,937","109,855",246107,4,"25,79109",11,1,6
Someday,Sugar Ray,spotify:track:6NcHJ23mLQKnVxQcOmT7JW,0.743,0.67,1,"-4,547",0,"0,0293","0,0108","0,0702","0,22","0,934","110,832",243333,4,"25,36994",12,1,6
Someone To Watch Over Me,Glad,spotify:track:7vHmOeAwCwgPJiSQxTdBVG,0.314,0.0669,3,"-14,003",1,"0,0299","0,903",0,"0,154","0,0425","101,631",249173,5,"43,66092",13,0,6
Someone You Used To Know,Collin Raye,spotify:track:022rVz5n3Ga5CelWqme1Sb,0.589,0.369,9,"-11,477",1,"0,0242","0,123","2,21E-06","0,114","0,295","98,997",225440,4,"23,76194",11,1,6
Something In Your Eyes,Bell Biv DeVoe,spotify:track:5runzprCX4AqYLnTeo02g6,0.796,0.623,6,"-9,309",0,"0,0328","0,0301","6,99E-05","0,0285","0,899","128,915",292533,4,"32,34123",13,1,6
Something Wild,Iggy Pop,spotify:track:18vGIMUWsWCFteG0ADixbS,0.595,0.772,7,"-10,869",1,"0,0263","0,0463","4,81E-05","0,196","0,679","129,044",241440,4,"74,43606",10,0,6
Sommar adjö,Jan Johansson,spotify:track:5VOK1wLQc5au6Kl9eu3Hxj,0.563,0.132,2,"-20,26",1,"0,0358","0,962","0,119","0,148","0,194","121,84",185360,3,"36,2556",8,0,6
"Sonata No 3 (1939): I. Lento, rubato",Giacinto Scelsi,spotify:track:4Omhgq0aaIMm0DPtiXakgH,0.219,0.0568,9,"-21,672",1,"0,0423","0,975","0,833","0,0792","0,0339","66,817",505009,3,"31,12956",24,0,6
"Sonata, Op.143a - Adagio, Ma Non Troppo",Vagn Holmboe,spotify:track:1SQmK9QofZl3qO2MAuXuhP,0.156,0.00217,2,"-32,645",1,"0,0465","0,956","0,000898","0,132","0,0985","74,833",161515,3,"26,57168",9,0,6
Song-Song,Brad Mehldau,spotify:track:12lfqLDBgfRf3I4XB9SxbA,0.388,0.0939,0,"-22,665",1,"0,044","0,87","0,896","0,083","0,0587","91,626",390867,3,"54,28106",19,0,6
Soul Sermon,Gregg Karukas,spotify:track:6m24oe3lk1UMxq9zq4iPFi,0.736,0.419,0,"-10,662",1,"0,03","0,693","0,495","0,0809","0,265","93,982",237267,4,"42,05369",9,0,6
Southernplayalisticadillacmuzik,OutKast,spotify:track:2pMAmZdHfQHyqJCXJbfhK3,0.69,0.834,10,"-5,8",0,"0,225","0,0162",0,"0,0559","0,58","172,392",317507,4,"56,91253",14,1,6
Spanish Point,Béla Fleck,spotify:track:63nDGMlz0tsDmMdO5F8Vye,0.562,0.574,4,"-14,036",0,"0,0398","0,933","0,911","0,544","0,564","114,238",336400,4,"27,3269",14,0,6
Special Russian Folk Song,Limpopo,spotify:track:5oZsXoJdZq0RuqVj9dfCg0,0.519,0.767,7,"-7,855",1,"0,0524","0,429",0,"0,0796","0,938","84,832",160733,4,"79,21143",5,0,6
Speechless,Cibo Matto,spotify:track:0GpxtleZDqQgDrIBgCK4wf,0.617,0.818,1,"-7,334",1,"0,0579","0,00514","0,00447","0,138","0,391","95,149",272933,4,"38,94147",8,0,6
Spend My Life,Slaughter,spotify:track:4xTQdHvWyjASRfEBpaGJoI,0.504,0.983,0,"-3,071",1,"0,0793","0,019",0,"0,339","0,534","115,178",200640,4,"27,78411",8,1,6
Spend My Life With You,Eric Benet Featuring Tamia,spotify:track:58s4iqgXFzXhBndBkg2AaD,0.583,0.435,8,"-8,784",1,"0,0386","0,434","5,49E-05","0,102","0,292","72,01",276013,4,"27,82509",8,1,6
Spice Up Your Life,Spice Girls,spotify:track:5qGwqO0lkbBXw4xNfzT7SF,0.556,0.993,1,"-5,067",1,"0,0464","0,0105","0,0341","0,403","0,702","124,016",173667,4,"40,94597",10,1,6
Spin That Wheel,Hi Tek 3 Featuring Ya Kid K,spotify:track:0sAt5clOC0mNTup5FsjDJE,0.803,0.924,5,"-7,161",1,"0,0701","0,0112","1,16E-05","0,0671","0,956","128,284",220360,4,"21,69249",13,1,6
St. Anne's Reel,Scott Vestal,spotify:track:3lin7bs5vxKk5kdIHZB0dM,0.531,0.535,2,"-13,804",1,"0,0347","0,791","0,953","0,241","0,964","115,394",212533,4,"35,33396",12,0,6
Stack O'Lee,Mississippi John Hurt,spotify:track:0FQkg9AKa4DevwrrFC1aLK,0.605,0.141,3,"-17,598",1,"0,0377","0,994","0,402","0,113","0,792","107,992",175093,4,"27,37408",12,0,6
Stay Close to Me,Bad Brains,spotify:track:3XpMtbAQ0q2U4vYpYPDSrg,0.546,0.815,6,"-7,36",0,"0,109","0,0601","0,000334","0,267","0,898","96,573",144133,5,"30,98618",9,0,6
Stay With Me,Spiritualized,spotify:track:7D81EAc9Gk4vXdyOuQHxRo,0.417,0.289,11,"-12,173",1,"0,0324","0,0101","0,933","0,0989","0,055","129,739",308133,5,"30,4",13,0,6
Steam,Ty Herndon,spotify:track:2sPXJCnKyQ1SWjc2JdFnQK,0.676,0.738,6,"-6,693",1,"0,0262","0,0497","2,7E-06","0,0784","0,697","101,944",216693,4,"21,42116",12,1,6
Steel & Clarinet,Fred Hersch,spotify:track:38gnQCgcj10SFFxEixYecz,0.49,0.123,0,"-19,207",0,"0,0359","0,925","0,325","0,117","0,442","91,507",287627,3,"92,81861",13,0,6
Step By Step,New Kids On The Block,spotify:track:6J6RWKCPN5RFKHUKEUFjxS,0.787,0.63,0,"-12,295",1,"0,0609","0,0274","6,69E-06","0,161","0,882","125,347",267293,4,"46,14574",13,1,6
Step Down,Sick Of It All,spotify:track:6DE037vHREtIRYjqzZ8fkf,0.369,0.836,7,"-8,257",1,"0,063","2,32E-05","0,291","0,44","0,541","88,978",189027,4,"50,73619",7,0,6
Stewball,Mike Seeger,spotify:track:3Cn2HPrUDqIncD68WImchI,0.64,0.383,0,"-13,177",0,"0,0429","0,801",0,"0,111","0,791","127,247",213040,4,"21,6177",10,0,6
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,spotify:track:503OTo2dSqe7qk76rgsbep,0.816,0.775,11,"-3,323",1,"0,234","0,16","0,00031","0,0543","0,527","93,431",270587,4,"28,25741",11,1,6
Stock Yards Strut,Small Jazz Band,spotify:track:6GPUHTXaKdrvxlYoUnUHk1,0.802,0.437,8,"-12,955",1,"0,0733","0,712","0,87","0,192","0,981","112,5",254695,4,"77,394",11,0,6
Stop The World,Extreme,spotify:track:4Vghbo90YLD9BudOpMKW0K,0.452,0.724,8,"-8,189",1,"0,0435","0,0038","0,00112","0,687","0,325","174,594",357933,4,"23,84338",19,1,6
Stranger,Beborn Beton,spotify:track:5cF6G55tKSpqS5DUp5dL3v,0.519,0.839,5,"-7,048",1,"0,0466","0,0181","0,000286","0,156","0,422","164,889",302960,4,"58,97732",12,0,6
Stranger In Moscow,Michael Jackson,spotify:track:64KrFHj9p5AyCX2yZQr4YJ,0.802,0.468,1,"-8,629",1,"0,0378","0,248","0,0006","0,32","0,586","129,937",343960,4,"46,19257",11,1,6
Strawberry Letter 23,Tevin Campbell,spotify:track:2U96QtBPJE158fZ74GIqQX,0.812,0.834,6,"-7,722",1,"0,0375","0,0663","0,000443","0,115","0,817","106,425",196880,4,"55,2383",9,1,6
Strength Through Wounding,AFI,spotify:track:6I3ICkKo3D5oOPitKYZS65,0.323,0.922,11,"-7,731",0,"0,0488","0,000372","0,00218","0,527","0,492","139,819",93427,4,"40,46596",5,0,6
Strike It Up,Black Box,spotify:track:742hY2twqAjwNYnKkQdilj,0.876,0.862,6,"-7,694",0,"0,062","0,0117","0,000276","0,0658","0,915","118,396",298691,4,"35,52846",13,1,6
Suck A Caribou's Ass,Wesley Willis,spotify:track:0sjpphWUG3aWzOfThaNIOv,0.525,0.801,7,"-7,724",1,"0,0314","0,000158","0,000354","0,216","0,663","160,536",144333,4,"29,07379",9,0,6
Sunday Morning,"Earth, Wind & Fire",spotify:track:2lnx4mfdXyAYvtVPYXRPcD,0.613,0.783,8,"-9,55",0,"0,0353","0,00408","4,65E-06","0,0446","0,83","159,291",251867,4,"30,89801",14,1,6
Sunflower River Blues,John Fahey,spotify:track:6CePeHbXmgwna8B5dC6xKV,0.317,0.197,5,"-20,666",1,"0,0427","0,665","0,747","0,103","0,119","91,994",200333,4,"68,07635",10,0,6
Super Unison,Drive Like Jehu,spotify:track:5diNR9OTKnjnP5MF80bPtt,0.185,0.984,9,"-6,086",1,"0,169","0,00716","0,671","0,0895","0,0929","167,606",444893,4,"28,39654",15,0,6
Suspicious (West Coast Experimental Pop Art Mix),Psychic TV,spotify:track:4As0uOWi3MhnuaKfkm2eC2,0.311,0.255,0,"-17,118",1,"0,0336","0,689","0,000645","0,119","0,182","96,419",446107,3,"71,80261",15,0,6
"Swan Lake, Op. 20 : Scene Finale",Slovak Philharmonic,spotify:track:48hWoJLOOjzA73vqpK0HpZ,0.25,0.3,11,"-16,227",1,"0,0475","0,941","0,943","0,0822","0,0398","116,647",322067,3,"64,16556",12,0,6
Sweet Bunch Of Daisies,Kenny Baker,spotify:track:0mAGdBTqby1qrwc6ulJDuI,0.545,0.337,10,"-12,365",1,"0,0326","0,669","0,000531","0,651","0,751","119,026",171467,4,"66,04005",7,0,6
Sweet Surrender,Sarah McLachlan,spotify:track:46ShsS3tyqJAJdxUjPezdI,0.627,0.467,9,"-9,81",1,"0,0321","0,00286",0,"0,11","0,61","113,01",240613,4,"31,59659",9,1,6
Sweet Thing,Mick Jagger,spotify:track:46oxhVXWECsaPytsDW6GKb,0.811,0.863,1,"-4,133",1,"0,145","0,0126","0,00535","0,11","0,865","104,837",259520,4,"76,29585",9,1,6
Sweetest Thing,U2,spotify:track:7ndGFo9nZ108KPgXtfYWCe,0.524,0.641,0,"-8,967",1,"0,0497","0,0437","2,78E-05","0,159","0,482","141,65",184543,4,"46,24419",9,1,6
Swimming Song,Even As We Speak,spotify:track:7mZoDbttXQ6zUOqGCKODYC,0.536,0.693,7,"-13,96",1,"0,0413","0,0138","0,000439","0,0677","0,798","142,982",102067,4,"19,50867",8,0,6
Symphony Of Destruction,Megadeth,spotify:track:51TG9W3y9qyO8BY5RXKgnZ,0.61,0.891,4,"-5,452",0,"0,0587","0,000805","0,0928","0,0657","0,51","139,903",246733,4,"46,45994",10,1,6
Take My Advice,Kym Sims,spotify:track:5KhAzdjCDy6MZai1P0RJAe,0.737,0.814,2,"-10,396",1,"0,0307","0,00019","0,392","0,0844","0,803","120,01",283227,4,"169,11724",8,1,6
Take Time,Chris Walker,spotify:track:4h1uO4VGG5SDkiEaT4EG79,0.648,0.743,7,"-9,595",0,"0,0592","0,0799",0,"0,125","0,81","97,059",260840,4,"38,11362",13,1,6
Talk Show Shhh!,Shae Jones,spotify:track:7hx9lupBCq8SSr1Lm6l0on,0.884,0.26,10,"-7,458",0,"0,0558","0,0244",0,"0,0688","0,516","121,937",252819,4,"47,96398",9,1,6
Tango Remembrances,Yo-Yo Ma,spotify:track:1rdIlDREX1Em73iQJdedJg,0.474,0.149,4,"-14,127",0,"0,0463","0,897","0,15","0,141","0,397","122,212",379840,4,"35,82244",18,0,6
Tears,The Isley Brothers,spotify:track:3WAgCGsQ88VW3GFSMVK8td,0.532,0.516,1,"-9,847",1,"0,103","0,755","0,00019","0,328","0,545","150,368",285600,4,"38,43612",15,1,6
Teenage Chase,Keith Mansfield,spotify:track:1fTBI3r4rA2tLzMsAup4iw,0.735,0.575,0,"-7,341",1,"0,063","0,195","0,915","0,135","0,848","145,371",141493,4,"26,859",9,0,6
Tha Crew,Hector & Tito,spotify:track:5MjAIvzJ0wvoSrhA8E7DJ5,0.8,0.693,0,"-6,413",1,"0,216","0,00193",0,"0,25","0,863","107,896",78367,4,"20,17106",4,0,6
That Special Place (feat. New Generation Singers Reunion Choir),Daryl Coley,spotify:track:5fJ8BDYdlk7miYgbZlVek4,0.42,0.432,8,"-11,082",1,"0,0327","0,495",0,"0,601","0,305","148,432",372867,4,"27,86324",15,0,6
That's Not Her Style,Billy Joel,spotify:track:7EXagPENSPw79YAz500A6A,0.65,0.899,2,"-4,694",1,"0,0331","0,0412",0,"0,263","0,814","118,245",308000,4,"18,28167",16,1,6
That's The Way Love Goes,Janet Jackson,spotify:track:29rQJydAlO0uMyWvRIZxQg,0.703,0.7,5,"-6,789",1,"0,0693","0,302","0,471","0,0718","0,582","97,675",265107,4,"35,34871",9,1,6
That's The Way Love Goes,Young M.C.,spotify:track:4bw5Pth0q5KcguwvAv0dVt,0.849,0.694,6,"-14,43",0,"0,0642","0,0232","0,00252","0,0524","0,932","118,309",229307,4,"34,91088",9,1,6
That's What Love Can Do,Boy Krazy,spotify:track:4VOQLjmETAE5NLcFMwvUXC,0.783,0.773,5,"-7,541",0,"0,0493","0,0103","0,000162","0,0349","0,744","117,471",202000,4,"38,73341",9,1,6
The 219 Blues,Lloyd Miller,spotify:track:5IG8YpJLjoRmoUilsx1wRt,0.522,0.182,9,"-17,453",1,"0,0424","0,899","0,198","0,113","0,453","86,174",276293,4,"34,82076",10,0,6
The Animal Song,Savage Garden,spotify:track:5TuzQ44lPWTCKbfXbNIEXg,0.652,0.669,6,"-7,663",1,"0,037","0,0639","3,83E-06","0,0671","0,834","116,088",278000,4,"41,61203",10,1,6
The Box - Part 2,Orbital,spotify:track:1kV6GsEtVGmPehcGpmYtnr,0.603,0.72,9,"-12,956",0,"0,0295","0,0075","0,936","0,096","0,66","140,991",359586,4,"28,64798",8,0,6
The Chicken Cow,Wesley Willis,spotify:track:1sqcAOdbG8jjeKl4BzZk7k,0.649,0.473,6,"-13,868",0,"0,0428","0,0163",0,"0,132","0,72","170,112",149000,4,"14,16612",9,0,6
The Christmas Song,Rosemary Clooney,spotify:track:23OheZvcp1ikImwgj4zFFz,0.359,0.225,7,"-12,624",1,"0,0336","0,9","0,000328","0,111","0,165","130,443",228360,4,"23,99633",11,0,6
The City Is Mine,Jay-Z Featuring BLACKstreet,spotify:track:3qA9K2uI9v3lxq9ZFFtOmN,0.888,0.702,0,"-4,059",0,"0,209","0,00358",0,"0,0358","0,754","97,954",242573,4,"29,31391",10,1,6
The Comfort Zone,Vanessa Williams,spotify:track:7okbmgA8lRBGl5limZ7LFM,0.528,0.234,3,"-15,784",1,"0,0283","0,641",0,"0,183","0,191","95,911",218733,4,"46,33298",10,1,6
The Courier,Randy Edelman,spotify:track:3JbN5Maw5CvcCSNkOhtPVX,0.11,0.319,8,"-20,953",1,"0,0393","0,265","0,93","0,121","0,131","83,743",149667,3,"26,06939",10,0,6
"The Cup Of Life (The Official Song Of The World Cup, France '98)",Ricky Martin,spotify:track:68CzXNGAMmb3k5MhLu0xVb,0.709,0.911,5,"-6,945",0,"0,0433","0,0387","0,000132","0,391","0,661","126,984",279920,4,"26,69459",13,1,6
The Empress And The Ukraine King,CAN,spotify:track:5ltrE4dIE3FF0ungXDZgRs,0.593,0.924,2,"-6,456",1,"0,0383","0,331","0,00293","0,228","0,652","100,853",281840,4,"30,05144",11,0,6
The First Circle,Bob Curnow's L.A. Big Band,spotify:track:2SJZZYP3QFyAEisssMncjS,0.297,0.398,0,"-11,476",1,"0,0368","0,734","0,764","0,0843","0,314","169,786",534627,3,"41,05695",27,0,6
The First Night,Monica,spotify:track:5rWzxloNXvbRPhlC1O2b6T,0.671,0.766,1,"-9,218",0,"0,0634","0,139",0,"0,26","0,906","152,088",235573,4,"30,28588",12,1,6
The First Time,Surface,spotify:track:4iqnWPNCt4hhZ96KhjlJKq,0.637,0.354,10,"-11,964",1,"0,0283","0,215","0,000704","0,0961","0,111","126,435",256000,4,"17,77721",15,1,6
The Fool,Neutral Milk Hotel,spotify:track:2weDkGIMFWvWK908lBUC2s,0.284,0.683,2,"-4,907",0,"0,0303","0,0557","0,855","0,529","0,308","109,757",113147,3,"69,5824",4,0,6
The Freshmen,The Verve Pipe,spotify:track:21jEuMn2lf37715rwjow2M,0.571,0.505,1,"-9,312",0,"0,0238","0,0757","1,04E-05","0,109","0,276","99,562",269467,4,"34,87483",12,1,6
The Good Mr. Square,The Pretty Things,spotify:track:3tRFo1mXVNC5Wwrv7T8trF,0.584,0.284,7,"-12,714",1,"0,0409","0,305","0,000903","0,162","0,386","139,087",86693,4,"50,41194",5,0,6
The Hearts Filthy Lesson,David Bowie,spotify:track:3cEhKEi1L86vFObrip0KDX,0.565,0.798,11,"-8,295",0,"0,087","0,00146","0,0201","0,33","0,433","88,954",297560,4,"51,1261",9,1,6
The Humpty Dance,Digital Underground,spotify:track:3OcQkcvTcohs8vO8Rd3sKF,0.813,0.693,10,-8,0,"0,266","0,0341",0,"0,121","0,618","103,508",391693,4,"30,1895",16,1,6
The Moon Song,Pat Metheny,spotify:track:39Td6DiaWVzx5RcDCMWQFz,0.451,0.0461,5,"-22,294",0,"0,0346","0,969","0,924","0,0868","0,207","75,993",416040,4,"65,41302",18,0,6
The New Democracy,The Nashville Bluegrass Band,spotify:track:06S18NC3FGuEYFRoS8WgsP,0.513,0.429,2,"-15,271",1,"0,0336","0,471","0,95","0,291","0,819","142,354",176240,4,"74,51253",7,0,6
The Obvious Child,Paul Simon,spotify:track:1deWgqhgAzI6dY35TbKKh7,0.523,0.717,8,"-11,611",1,"0,0483","0,576","0,00177","0,028","0,969","92,593",250227,4,"41,75463",10,1,6
The One I Love is Gone,Hazel Dickens,spotify:track:76QZOE3C7tgXHossRyvrye,0.287,0.214,8,"-13,261",0,"0,0325","0,847","0,000203","0,0847","0,457","79,557",191467,4,"74,29303",8,0,6
The Only Thing That Looks Good On Me Is You,Bryan Adams,spotify:track:6XK9BhcB5ZL6rErFZYtuln,0.641,0.929,7,"-5,466",1,"0,0355","0,0138",0,"0,33","0,911","118,9",215427,4,"69,81217",8,1,6
The Poor People Of Paris (Jean's Song) - Single Version,Les Baxter,spotify:track:70gZnClysSHCBwI0H4qr5O,0.567,0.279,10,"-11,763",1,"0,0377","0,693","0,289","0,096","0,764","87,581",146093,4,"84,28648",5,0,6
The Power,Snap!,spotify:track:0nQLxiNGbbUoSGrxksETLm,0.74,0.88,0,"-7,693",1,"0,0624","0,0434","0,00798","0,341","0,707","108,9",228994,4,"45,70254",11,1,6
The Real Love,Bob Seger & The Silver Bullet Band,spotify:track:3FMRulxLH3tZMMal3WiNWI,0.721,0.546,5,"-6,845",1,"0,0269","0,0362","0,00487","0,114","0,612","115,387",279867,4,"37,51155",10,1,6
The Right Kinda Lover,Patti LaBelle,spotify:track:39KhQn8GOfE7z9wZbldgaQ,0.815,0.77,10,"-8,412",0,"0,0512","0,257","0,000227","0,0488","0,811","99,941",292667,4,"45,5476",12,1,6
The Three Kings and I (What Really Happened),Trans-Siberian Orchestra,spotify:track:2LSjScC20dzWC9hVCSp20T,0.536,0.597,5,"-9,944",1,"0,0377","0,175","0,00141","0,109","0,388","142,426",389133,4,"42,41522",17,0,6
The Time Has Come (Pikachu's Goodbye),Pokémon,spotify:track:6jOy7e1JqskcFqu73qp4BF,0.346,0.332,0,"-8,017",1,"0,036","0,582",0,"0,0661","0,225","199,903",185507,4,"40,60168",12,0,6
The Unknown Warrior - Song For My Forefathers,Courtney Pine,spotify:track:1OKoBQCvOHniWIZmqpm2pz,0.39,0.699,5,"-9,506",0,"0,0504","0,0641","0,00178","0,0716","0,471","119,859",399240,4,"32,09261",19,0,6
The Way I Feel,Tag,spotify:track:5d1dglMOQpQQoYjuq4DHoB,0.59,0.661,9,"-11,361",0,"0,0304","0,0401","6,95E-05","0,0464","0,406","93,104",249067,4,"45,02391",10,1,6
The Way It Is,Tesla,spotify:track:3l4L10OL1gbfypzTwjvINb,0.327,0.823,7,"-7,122",1,"0,0394","0,019","8,2E-05","0,124","0,489","94,023",308867,4,"33,46582",12,1,6
The Way You Do The Things You Do,UB40,spotify:track:42HaJ7QlInzQ5vHKWb5Ixa,0.885,0.534,5,"-8,191",0,"0,155","0,248","4,77E-05","0,0357","0,896","80,857",183227,4,"87,57876",4,1,6
The World That She Sees,Trans-Siberian Orchestra,spotify:track:4p4Gh5rhWjq2dFsGnmg47s,0.554,0.355,6,"-9,545",1,"0,0278","0,298","0,0142","0,0891","0,109","137,286",359440,3,"29,77269",12,0,6
There Goes My Baby,Trisha Yearwood,spotify:track:4ke1a35DUJFvPeqINRunaJ,0.67,0.626,0,"-5,579",1,"0,0236","0,479",0,"0,112","0,593","108,84",233000,4,"46,18147",10,1,6
There Is No Failure In God,Rev. Milton Brunson,spotify:track:31XFi1borsBwar2sOSn66s,0.505,0.939,0,"-10,737",1,"0,0708","0,0395","0,0322","0,969","0,662","136,248",288332,4,"33,58114",9,0,6
There She Goes,Sixpence None The Richer,spotify:track:43z6scIZU2QcEieMQFAJRG,0.498,0.789,10,"-5,724",1,"0,0319","0,000856","5,83E-06","0,104","0,455","120,176",164280,4,"29,92569",7,1,6
There Will Never Be Another Tonight,Bryan Adams,spotify:track:44fxmBDtpasWTQHxvwBEoY,0.517,0.918,9,"-6,965",1,"0,0489","0,0591",0,"0,296","0,641","137,136",280133,4,"39,9848",13,1,6
There Will Never Be Another You,Lester Young,spotify:track:5uQkJU8FDt9srkxKfKRiBN,0.567,0.0341,0,"-17,895",0,"0,0525","0,989","0,326","0,0878","0,391","82,881",208469,4,"26,36285",9,0,6
There'll Be Some Changes Made,Eddie Lang,spotify:track:7wsq3vkpk6IPjUf9a3yUWI,0.593,0.0986,10,"-15,833",0,"0,0732","0,925","0,843","0,107","0,47","125,146",191267,5,"38,92787",9,0,6
